original,primary,status
ferrell gas / jp energy,ferrell,curated
ferrell north america,ferrell,curated
ferrellgas,ferrell,curated
ferrotrol 300l,not a company,curated
fha operating,fha operating,curated
fidelity,fidelity,curated
fidelity e & p,fidelity,curated
fidelity exploration & production,fidelity,curated
fidelity exploration &amp; production,fidelity,curated
$fidgets energy, llc$,fidgets energy,curated
fifth creek energy operating company llc,fifth creek energy operating company,curated
figure 3 operating,figure 3 operating,curated
figure 3 operating llc,figure 3 operating,curated
$fiml natural resources, llc$,fiml natural resources,curated
fineway ceramics,fineway ceramics,curated
finley rescources,finley,curated
finley resources,finley,curated
$finley resources, inc.$,finley,curated
finney oil company,finley,curated
finoric,finoric,curated
finoric llc,finoric,curated
finoric llc.,finoric,curated
$finoric, llc$,finoric,curated
firebird energy,firebird energy,curated
firewheel energy,firewheel,curated
$firewheel energy, llc$,firewheel,curated
$firewheel operating, llc$,firewheel,curated
$first ascent operating, llc$,first ascent,curated
firstrike energy corporation,firstrike energy,curated
five states energy,five states energy,curated
fivestones,fivestones,curated
fivestones energy llc,fivestones,curated
flamingo,flamingo,curated
flamingo oil,flamingo,curated
flamingo operating,flamingo,curated
$flamingo operating, llc$,flamingo,curated
fletcher petroleum corp.,fletcher,curated
flex chem,flex-chem,curated
flex-chem,flex-chem,curated
flexchem,flex-chem,curated
$flinn scientific, inc$,flinn scientific,curated
flint interest,flint interest,curated
$flint interest, llc$,flint interest,curated
flo co2,flo co2,curated
flo-tek,flotek chemistry,curated
flocap,flocap,curated
flocap injection services,flocap,curated
$flocap injection services, llc$,flocap,curated
floco,flo co2,curated
floco2,flo co2,curated
flojet,flojet,curated
flotec chemistry,flotek chemistry,curated
flotech,flotek chemistry,curated
flotech chemistry,flotek chemistry,curated
floteck chemistry,flotek chemistry,curated
$floteck chemistry, llc$,flotek chemistry,curated
floteck chemisty,flotek chemistry,curated
flotek,flotek chemistry,curated
flotek chemical,flotek chemistry,curated
flotek chemisrty,flotek chemistry,curated
flotek chemistry,flotek chemistry,curated
flotek chemistry cesi,flotek chemistry,curated
$flotek chemistry, llc$,flotek chemistry,curated
flotek chemisty,flotek chemistry,curated
flotek compamy,flotek chemistry,curated
flotek inc.,flotek chemistry,curated
flotek industries,flotek chemistry,curated
floway,floway,curated
flowtek,flotek chemistry,curated
flowtek chemistry,flotek chemistry,curated
fluid,fluid,curated
fluid delivery solutions,fluid,curated
fluid energy group,fluid,curated
fluid usa,fluid,curated
$fluid usa inc,$,fluid,curated
fluid usa inc.,fluids,curated
fluids,fluids,curated
fluids management,fluids,curated
fluids technolo gy,fluids,curated
flying a pumping,flying a pumping,curated
fmc,fmc,curated
fmc corporation,fmc,curated
fml tech,fml,curated
fml terminal,fml,curated
fmog,fmog,curated
foc,foc,curated
$fontainebleau operating, llc$,fontainebleau operating,curated
for water,ambiguous,curated
foree oil company,foree oil company,curated
$foreland operating, llc$,foreland operating,curated
fores,fores,curated
fores llc,fores,curated
forest,forest,curated
forest oil,forest,curated
forest oil corp,forest,curated
forest oil corporation,forest,curated
forestar,forestar,curated
forge,forge,curated
forge energy,forge,curated
$forge energy, llc$,forge,curated
formosa,formosa,curated
formosa plastics,formosa,curated
fort berthold 148-94-19d-18-2h,ambiguous,curated
$fortay, inc.$,fortay,curated
$fortuna resources development, llc$,fortuna resources development,curated
forty acres energy llc,forty acres energy,curated
$fossil petroleum, llc$,fossil,curated
$fossil resources, inc.$,fossil,curated
$foundation energy management, llc$,foundation energy management,curated
founders,founders,curated
$founders oil & gas operating, llc$,founders,curated
fountail quail,fountain quail,curated
fountain quail,fountain quail,curated
four c oil and gas corporation,four c oil and gas corporation,curated
four corners,four corners,curated
four corners petroleum,four corners,curated
four corners petroleum ii,four corners,curated
$four corners petroleum ii, llc$,four corners,curated
fourpoint energy,fourpoint energy,curated
$fouts oil & gas, llc$,fouts oil & gas,curated
fox northeastern oil & gas corporation,fox northeastern oil & gas corporation,curated
fr breaker,fr breaker,curated
fra 405,not a company,curated
fra-175,not a company,curated
frac,ambiguous,curated
frac -chem,frac chem,curated
frac chem,frac chem,curated
frac sand (all meshes) cwt,ambiguous,curated
frac specailist,frac specialists,curated
frac specialist,frac specialists,curated
frac specialists,frac specialists,curated
frac specilaists,frac specialists,curated
frac tech,frac tech,curated
frac tech frac tech,frac tech,curated
frac tech frac tech frac tech,frac tech,curated
frac tech frac tech frac tech frac tech frac tech,frac tech,curated
frac tech services,frac tech,curated
frac tech services llc,frac tech,curated
$frac tech services,$,frac tech,curated
$frac tech services, llc$,frac tech,curated
frac tech servics llc,frac tech,curated
frac tech/chems ource,frac tech,curated
frac tech/chemso urce,frac tech,curated
frac tech/chemsour ce,frac tech,curated
frac_chem,frac chem,curated
frac-chem,frac chem,curated
frac-chem llc,frac chem,curated
frac-tech,frac tech,curated
fracchem,frac chem,curated
frach tech,frac tech,curated
fractach,frac tech,curated
fractech,frac tech,curated
fracture date,not a company,curated
fracturing technologies,frac tech,curated
fracturing technologies weatherford international,frac tech,curated
franklin,franklin,curated
$franks exploration company, llc$,franks exploration company,curated
$freedom production, inc.$,freedom production.,curated
freeport-mcmoran oil & gas,freeport-mcmoran oil & gas,curated
fresh water,not a company,curated
friction,not a company,curated
friction reducer,not a company,curated
friction reducers,not a company,curated
fritz,fritz,curated
fritz chemical,fritz,curated
fritz indust,fritz,curated
fritz industrie,fritz,curated
fritz industrie s,fritz,curated
fritz industries,fritz,curated
$fritz industries,$,fritz,curated
$fritz industries, inc$,fritz,curated
$fritz industries, inc,$,fritz,curated
$fritz industries, inc.$,fritz,curated
fritz industry,fritz,curated
$fritzler resources, inc.$,fritzler resources,curated
frw-20,not a company,curated
fsti,ftsi,curated
fsti / dover,ftsi,curated
fsti chem,ftsi,curated
fsti inc,ftsi,curated
fsti inc.,ftsi,curated
ftcc,ftcc,curated
ftis,ftsi,curated
fts,ftsi,curated
fts internati,ftsi,curated
fts internati onal,ftsi,curated
fts international,ftsi,curated
$fts international, llc$,ftsi,curated
$fts international, u.s. well services$,ftsi,curated
ftsi,ftsi,curated
ftsi inc,ftsi,curated
ftsi inc.,ftsi,curated
$ftsi, llc.$,ftsi,curated
ftst,ftsi,curated
fuego energy,fuego energy,curated
$fuego energy, llc$,fuego energy,curated
$fulcrum exploration, llc.$,fulcrum exploration,curated
fuller production,fuller production,curated
$fuller production, inc.$,fuller production,curated
furie operating alaska,furie operating alaska,curated
$fuse energy, llc$,fuse energy,curated
$future acquisition company, llc$,future acquisition company,curated
g,ambiguous,curated
g.a. hawkins,g.a. hawkins,curated
$g3 operating, llc.$,g3 operating,curated
gacam,gacam,curated
gaedeke energy,gaedeke,curated
$gaedeke oil & gas operating, llc$,gaedeke,curated
$galt investment company, llc$,galt investment company,curated
$garry davis oil, llc$,garry davis,curated
gary davis oil,garry davis,curated
$gary permian, llc$,gary permian,curated
gas frac,gasfrac,curated
$gasco energy, inc.$,gasco energy,curated
gasfrac,gasfrac,curated
gasfrac energy,gasfrac,curated
gasfrac energy services,gasfrac,curated
gasfrac energy services inc,gasfrac,curated
gasfrac energy services inc.,gasfrac,curated
gastar exploration inc.,gastar exploration,curated
gastar exploration ltd-parent,gastar exploration,curated
gastar exploration texas-edi-houston,gastar exploration,curated
$gastar exploration texas, l.p.$,gastar exploration,curated
gateway resources usa inc,gateway resources usa,curated
gbw-5,not a company,curated
gec,gec,curated
gel breaker,not a company,curated
gellant,not a company,curated
gelling agent,not a company,curated
gelling agents,not a company,curated
generic,ambiguous,curated
genesis,genesis,curated
genesis alkali,genesis,curated
genesis custom chemcial blending,genesis,curated
genesis custom chemical blending,genesis,curated
gensesis custom chemical blending,genesis,curated
geo chemicals,geo chemicals,curated
geokimika,geokimika,curated
geosafe,geosafe,curated
geosafe chemicals,geosafe,curated
geosafe chemicals inc.,geosafe,curated
$geosafe chemicals, inc.$,geosafe,curated
geosage,geosafe,curated
geosouthern,geosouthern,curated
geosouthern energy corporation,geosouthern,curated
geosouthern energy group,geosouthern,curated
$geosouthern operating ii, llc$,geosouthern,curated
$geosurveys, inc.$,geosurveys,curated
$gep haynesville, llc$,gep haynesville,curated
gesi chemical,gesi chemical,curated
geurin oil & gas,geurin oil & gas,curated
gfes,gfes,curated
$gha barnett, llc$,gha barnett,curated
ghes,ghes,curated
gibsons,gibsons,curated
gies,gies,curated
gies inc,gies,curated
gillham oil co,gillham oil co,curated
$gilliland oil & gas, inc.$,gilliland oil & gas,curated
ginnings company,ginnings company,curated
gladiator,gladiator,curated
$glb exploration, inc.$,glb exploration,curated
$glen d. gonzenbach, llc$,glen d. gonzenbach,curated
$glimp oil company, llc$,glimp oil company,curated
$glm energy, inc.$,glm energy,curated
global chemical resources,global chemical resources,curated
globe energy services,globe energy services,curated
glutaraldehy de,not a company,curated
glycol ethers,not a company,curated
gmt exploration,gmt exploration,curated
gmx resources,gmx resources,curated
gns,gns,curated
go frac,go frac,curated
go frac llc,go frac,curated
gofrac,go frac,curated
gofrac llc,go frac,curated
$gofrac, llc$,go frac,curated
$gofrac, llc - chemplex$,go frac,curated
$gofrac, llc - reagant chemicals$,go frac,curated
goodrich,goodrich,curated
goodrich mud company,goodrich,curated
$goodrich petroleum company, llc$,goodrich,curated
$gordon creek, llc.$,gordon creek,curated
gordy oil company,gordy oil company,curated
gore,gore,curated
gore n2,gore,curated
gore nitrogen,gore,curated
gore nitrogen pumping service,gore,curated
gore pressure pumping,gore,curated
$gosney & sons, inc.$,gosney & sons,curated
$gosney &amp; sons, inc.$,gosney & sons,curated
$goza lucerne prospect, llc$,goza lucerne prospect,curated
